device,suite,provider,layout,mode,batch,seq,hidden,dtype,approximate,time_ms,peak_memory_mib
NVIDIA A100-SXM4-80GB,a100,torch,separate,forward,2,7,11009,bf16,tanh,0.062504,2.648
NVIDIA A100-SXM4-80GB,a100,torch,separate,full,2,7,11009,bf16,tanh,0.231107,4.415
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,forward,2,7,11009,bf16,tanh,0.084499,1.766
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,backward,2,7,11009,bf16,tanh,0.052731,2.061
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,full,2,7,11009,bf16,tanh,0.235699,2.355
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,forward,2,7,11009,bf16,tanh,0.084033,1.766
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,backward,2,7,11009,bf16,tanh,0.064201,2.649
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,full,2,7,11009,bf16,tanh,0.247807,2.944
NVIDIA A100-SXM4-80GB,a100,torch_packed,packed,forward,2,7,11009,bf16,tanh,0.082790,2.648
NVIDIA A100-SXM4-80GB,a100,torch_packed,packed,full,2,7,11009,bf16,tanh,0.276836,4.414
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,forward,2,7,11009,bf16,tanh,0.082847,1.766
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,backward,2,7,11009,bf16,tanh,0.052093,2.060
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,full,2,7,11009,bf16,tanh,0.224035,2.354
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,forward,2,7,11009,bf16,tanh,0.082433,1.766
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,backward,2,7,11009,bf16,tanh,0.061356,2.648
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,full,2,7,11009,bf16,tanh,0.234108,2.943
NVIDIA A100-SXM4-80GB,a100,liger,separate,forward,2,7,11009,bf16,tanh,0.081800,1.766
NVIDIA A100-SXM4-80GB,a100,liger,separate,full,2,7,11009,bf16,tanh,0.231649,2.355
NVIDIA A100-SXM4-80GB,a100,torch,separate,forward,1,128,24576,bf16,tanh,0.069880,54.000
NVIDIA A100-SXM4-80GB,a100,torch,separate,full,1,128,24576,bf16,tanh,0.234326,90.000
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,forward,1,128,24576,bf16,tanh,0.084693,36.000
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,backward,1,128,24576,bf16,tanh,0.053222,42.000
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,full,1,128,24576,bf16,tanh,0.233626,48.000
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,forward,1,128,24576,bf16,tanh,0.082788,36.000
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,backward,1,128,24576,bf16,tanh,0.067192,54.000
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,full,1,128,24576,bf16,tanh,0.252510,60.000
NVIDIA A100-SXM4-80GB,a100,torch_packed,packed,forward,1,128,24576,bf16,tanh,0.094301,54.000
NVIDIA A100-SXM4-80GB,a100,torch_packed,packed,full,1,128,24576,bf16,tanh,0.274327,90.000
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,forward,1,128,24576,bf16,tanh,0.083102,36.000
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,backward,1,128,24576,bf16,tanh,0.051972,42.000
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,full,1,128,24576,bf16,tanh,0.224265,48.000
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,forward,1,128,24576,bf16,tanh,0.082657,36.000
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,backward,1,128,24576,bf16,tanh,0.060241,54.000
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,full,1,128,24576,bf16,tanh,0.234216,60.000
NVIDIA A100-SXM4-80GB,a100,liger,separate,forward,1,128,24576,bf16,tanh,0.083171,36.000
NVIDIA A100-SXM4-80GB,a100,liger,separate,full,1,128,24576,bf16,tanh,0.233315,48.000
NVIDIA A100-SXM4-80GB,a100,torch,separate,forward,1,32,65537,bf16,tanh,0.062566,36.003
NVIDIA A100-SXM4-80GB,a100,torch,separate,full,1,32,65537,bf16,tanh,0.241497,60.005
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,forward,1,32,65537,bf16,tanh,0.085176,24.002
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,backward,1,32,65537,bf16,tanh,0.052852,28.003
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,full,1,32,65537,bf16,tanh,0.234531,32.003
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,forward,1,32,65537,bf16,tanh,0.082824,24.002
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,backward,1,32,65537,bf16,tanh,0.064568,36.004
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,full,1,32,65537,bf16,tanh,0.250818,40.004
NVIDIA A100-SXM4-80GB,a100,torch_packed,packed,forward,1,32,65537,bf16,tanh,0.084187,36.003
NVIDIA A100-SXM4-80GB,a100,torch_packed,packed,full,1,32,65537,bf16,tanh,0.280230,60.005
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,forward,1,32,65537,bf16,tanh,0.086867,24.002
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,backward,1,32,65537,bf16,tanh,0.052121,28.002
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,full,1,32,65537,bf16,tanh,0.226953,32.003
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,forward,1,32,65537,bf16,tanh,0.084833,24.002
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,backward,1,32,65537,bf16,tanh,0.061592,36.003
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,full,1,32,65537,bf16,tanh,0.237928,40.003
