device,suite,provider,layout,mode,batch,seq,hidden,dtype,approximate,time_ms,peak_memory_mib
NVIDIA A100-SXM4-80GB,smoke,torch,separate,forward,1,4,65537,bf16,tanh,0.062054,4.503
NVIDIA A100-SXM4-80GB,smoke,torch,separate,full,1,4,65537,bf16,tanh,0.276645,7.505
NVIDIA A100-SXM4-80GB,smoke,forge_fast,separate,forward,1,4,65537,bf16,tanh,0.084872,3.002
NVIDIA A100-SXM4-80GB,smoke,forge_fast,separate,backward,1,4,65537,bf16,tanh,0.058542,3.503
NVIDIA A100-SXM4-80GB,smoke,forge_fast,separate,full,1,4,65537,bf16,tanh,0.322309,4.003
NVIDIA A100-SXM4-80GB,smoke,forge_safe,separate,forward,1,4,65537,bf16,tanh,0.086960,3.002
NVIDIA A100-SXM4-80GB,smoke,forge_safe,separate,backward,1,4,65537,bf16,tanh,0.067863,4.504
NVIDIA A100-SXM4-80GB,smoke,forge_safe,separate,full,1,4,65537,bf16,tanh,0.333905,5.004
NVIDIA A100-SXM4-80GB,smoke,torch_packed,packed,forward,1,4,65537,bf16,tanh,0.089219,4.503
NVIDIA A100-SXM4-80GB,smoke,torch_packed,packed,full,1,4,65537,bf16,tanh,0.371272,7.505
NVIDIA A100-SXM4-80GB,smoke,forge_packed_fast,packed,forward,1,4,65537,bf16,tanh,0.084282,3.002
NVIDIA A100-SXM4-80GB,smoke,forge_packed_fast,packed,backward,1,4,65537,bf16,tanh,0.061382,3.502
NVIDIA A100-SXM4-80GB,smoke,forge_packed_fast,packed,full,1,4,65537,bf16,tanh,0.367112,4.003
NVIDIA A100-SXM4-80GB,smoke,forge_packed_safe,packed,forward,1,4,65537,bf16,tanh,0.085747,3.002
NVIDIA A100-SXM4-80GB,smoke,forge_packed_safe,packed,backward,1,4,65537,bf16,tanh,0.061467,4.503
NVIDIA A100-SXM4-80GB,smoke,forge_packed_safe,packed,full,1,4,65537,bf16,tanh,0.393799,5.003
