device,suite,provider,mode,batch,seq,hidden,intermediate,dtype,approximate,time_ms,peak_memory_mib
NVIDIA A100-SXM4-80GB,a100,separate_forge,gateup_full,2,7,4096,11009,bf16,tanh,1.060416,877.758
NVIDIA A100-SXM4-80GB,a100,separate_forge,mlp_forward,2,7,4096,11009,bf16,tanh,0.596014,447.686
NVIDIA A100-SXM4-80GB,a100,separate_forge,mlp_full,2,7,4096,11009,bf16,tanh,1.532342,963.581
NVIDIA A100-SXM4-80GB,a100,packed_torch,gateup_forward,2,7,4096,11009,bf16,tanh,0.205794,448.567
NVIDIA A100-SXM4-80GB,a100,packed_torch,gateup_full,2,7,4096,11009,bf16,tanh,0.621669,877.943
NVIDIA A100-SXM4-80GB,a100,packed_torch,mlp_forward,2,7,4096,11009,bf16,tanh,0.343906,448.567
NVIDIA A100-SXM4-80GB,a100,packed_torch,mlp_full,2,7,4096,11009,bf16,tanh,1.040069,963.766
NVIDIA A100-SXM4-80GB,a100,packed_forge,gateup_forward,2,7,4096,11009,bf16,tanh,0.186944,447.685
NVIDIA A100-SXM4-80GB,a100,packed_forge,gateup_full,2,7,4096,11009,bf16,tanh,0.631042,877.943
NVIDIA A100-SXM4-80GB,a100,packed_forge,mlp_forward,2,7,4096,11009,bf16,tanh,0.333249,447.685
NVIDIA A100-SXM4-80GB,a100,packed_forge,mlp_full,2,7,4096,11009,bf16,tanh,1.003557,963.766
NVIDIA A100-SXM4-80GB,a100,liger,gateup_forward,2,7,4096,11009,bf16,tanh,0.457455,447.686
NVIDIA A100-SXM4-80GB,a100,liger,gateup_full,2,7,4096,11009,bf16,tanh,1.115333,877.758
NVIDIA A100-SXM4-80GB,a100,liger,mlp_forward,2,7,4096,11009,bf16,tanh,0.598352,447.686
NVIDIA A100-SXM4-80GB,a100,liger,mlp_full,2,7,4096,11009,bf16,tanh,1.573755,963.581
NVIDIA A100-SXM4-80GB,a100,separate_torch,gateup_forward,1,128,3072,24576,bf16,tanh,0.306508,779.750
NVIDIA A100-SXM4-80GB,a100,separate_torch,gateup_full,1,128,3072,24576,bf16,tanh,1.026882,1478.000
NVIDIA A100-SXM4-80GB,a100,separate_torch,mlp_forward,1,128,3072,24576,bf16,tanh,0.422247,779.750
NVIDIA A100-SXM4-80GB,a100,separate_torch,mlp_full,1,128,3072,24576,bf16,tanh,1.426060,1616.750
NVIDIA A100-SXM4-80GB,a100,separate_forge,gateup_forward,1,128,3072,24576,bf16,tanh,0.271110,761.750
NVIDIA A100-SXM4-80GB,a100,separate_forge,gateup_full,1,128,3072,24576,bf16,tanh,0.929760,1478.000
NVIDIA A100-SXM4-80GB,a100,separate_forge,mlp_forward,1,128,3072,24576,bf16,tanh,0.381809,761.750
NVIDIA A100-SXM4-80GB,a100,separate_forge,mlp_full,1,128,3072,24576,bf16,tanh,1.319520,1616.750
NVIDIA A100-SXM4-80GB,a100,packed_torch,gateup_forward,1,128,3072,24576,bf16,tanh,0.315682,779.750
NVIDIA A100-SXM4-80GB,a100,packed_torch,gateup_full,1,128,3072,24576,bf16,tanh,1.015433,1483.250
NVIDIA A100-SXM4-80GB,a100,packed_torch,mlp_forward,1,128,3072,24576,bf16,tanh,0.430473,779.750
NVIDIA A100-SXM4-80GB,a100,packed_torch,mlp_full,1,128,3072,24576,bf16,tanh,1.421205,1622.000
NVIDIA A100-SXM4-80GB,a100,packed_forge,gateup_forward,1,128,3072,24576,bf16,tanh,0.260321,761.750
NVIDIA A100-SXM4-80GB,a100,packed_forge,gateup_full,1,128,3072,24576,bf16,tanh,0.881499,1483.250
NVIDIA A100-SXM4-80GB,a100,packed_forge,mlp_forward,1,128,3072,24576,bf16,tanh,0.377948,761.750
NVIDIA A100-SXM4-80GB,a100,packed_forge,mlp_full,1,128,3072,24576,bf16,tanh,1.266615,1622.000
NVIDIA A100-SXM4-80GB,a100,liger,gateup_forward,1,128,3072,24576,bf16,tanh,0.274914,761.750
NVIDIA A100-SXM4-80GB,a100,liger,gateup_full,1,128,3072,24576,bf16,tanh,0.945915,1478.000
NVIDIA A100-SXM4-80GB,a100,liger,mlp_forward,1,128,3072,24576,bf16,tanh,0.391684,761.750
NVIDIA A100-SXM4-80GB,a100,liger,mlp_full,1,128,3072,24576,bf16,tanh,1.372895,1616.750
