device,suite,provider,layout,mode,batch,seq,hidden,dtype,gate_multiplier,down_multiplier,time_ms,peak_memory_mib,warmup,rep
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,full,2,2048,11008,bf16,1.0,1.0,0.515443,688.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,forward,2,2048,11008,bf16,1.0,1.0,0.212776,516.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,backward,2,2048,11008,bf16,1.0,1.0,0.300885,774.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,full,2,2048,11008,bf16,1.0,1.0,0.529309,860.000,20,50
NVIDIA A100-SXM4-80GB,a100,liger,separate,forward,2,2048,11008,bf16,1.0,1.0,0.212616,516.000,20,50
NVIDIA A100-SXM4-80GB,a100,liger,separate,full,2,2048,11008,bf16,1.0,1.0,0.498250,688.000,20,50
NVIDIA A100-SXM4-80GB,a100,torch,separate,forward,2,2048,11008,bf16,0.7,1.3,1.148327,774.000,20,50
NVIDIA A100-SXM4-80GB,a100,torch,separate,full,2,2048,11008,bf16,0.7,1.3,2.539687,1290.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,forward,2,2048,11008,bf16,0.7,1.3,0.227311,516.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,backward,2,2048,11008,bf16,0.7,1.3,0.303626,602.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,full,2,2048,11008,bf16,0.7,1.3,0.505171,688.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,forward,2,2048,11008,bf16,0.7,1.3,0.218134,516.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,backward,2,2048,11008,bf16,0.7,1.3,0.309400,774.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,full,2,2048,11008,bf16,0.7,1.3,0.491542,860.000,20,50
NVIDIA A100-SXM4-80GB,a100,torch_packed,packed,forward,2,2048,11008,bf16,0.7,1.3,1.238993,774.000,20,50
NVIDIA A100-SXM4-80GB,a100,torch_packed,packed,full,2,2048,11008,bf16,0.7,1.3,3.038934,1290.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,forward,2,2048,11008,bf16,0.7,1.3,0.215011,516.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,backward,2,2048,11008,bf16,0.7,1.3,0.302182,602.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,full,2,2048,11008,bf16,0.7,1.3,0.508153,688.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,forward,2,2048,11008,bf16,0.7,1.3,0.216592,516.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,backward,2,2048,11008,bf16,0.7,1.3,0.303357,774.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,full,2,2048,11008,bf16,0.7,1.3,0.489286,860.000,20,50
NVIDIA A100-SXM4-80GB,a100,liger,separate,forward,2,2048,11008,bf16,0.7,1.3,0.326503,602.000,20,50
NVIDIA A100-SXM4-80GB,a100,liger,separate,full,2,2048,11008,bf16,0.7,1.3,0.748698,774.000,20,50
NVIDIA A100-SXM4-80GB,a100,torch,separate,forward,4,2048,11008,bf16,1.0,1.0,2.245415,1548.000,20,50
NVIDIA A100-SXM4-80GB,a100,torch,separate,full,4,2048,11008,bf16,1.0,1.0,4.988554,2580.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,forward,4,2048,11008,bf16,1.0,1.0,0.379927,1032.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,backward,4,2048,11008,bf16,1.0,1.0,0.566570,1204.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,full,4,2048,11008,bf16,1.0,1.0,0.917455,1376.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,forward,4,2048,11008,bf16,1.0,1.0,0.370038,1032.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,backward,4,2048,11008,bf16,1.0,1.0,0.561016,1548.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,full,4,2048,11008,bf16,1.0,1.0,0.908462,1720.000,20,50
NVIDIA A100-SXM4-80GB,a100,torch_packed,packed,forward,4,2048,11008,bf16,1.0,1.0,2.416920,1548.000,20,50
