device,suite,provider,layout,mode,batch,seq,hidden,dtype,gate_multiplier,down_multiplier,time_ms,peak_memory_mib,warmup,rep
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,full,2,2048,11008,bf16,1.0,1.0,0.494992,860.000,20,50
NVIDIA A100-SXM4-80GB,a100,torch,separate,forward,2,2048,11008,bf16,0.7,1.3,1.145062,774.000,20,50
NVIDIA A100-SXM4-80GB,a100,torch,separate,full,2,2048,11008,bf16,0.7,1.3,2.539247,1290.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,forward,2,2048,11008,bf16,0.7,1.3,0.216954,516.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,backward,2,2048,11008,bf16,0.7,1.3,0.301397,602.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,full,2,2048,11008,bf16,0.7,1.3,0.540769,688.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,forward,2,2048,11008,bf16,0.7,1.3,0.214435,516.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,backward,2,2048,11008,bf16,0.7,1.3,0.310955,774.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_safe,separate,full,2,2048,11008,bf16,0.7,1.3,0.574248,860.000,20,50
NVIDIA A100-SXM4-80GB,a100,torch_packed,packed,forward,2,2048,11008,bf16,0.7,1.3,1.237605,774.000,20,50
NVIDIA A100-SXM4-80GB,a100,torch_packed,packed,full,2,2048,11008,bf16,0.7,1.3,3.032817,1290.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,forward,2,2048,11008,bf16,0.7,1.3,0.214032,516.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,backward,2,2048,11008,bf16,0.7,1.3,0.299680,602.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_packed_fast,packed,full,2,2048,11008,bf16,0.7,1.3,0.545505,688.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,forward,2,2048,11008,bf16,0.7,1.3,0.210552,516.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,backward,2,2048,11008,bf16,0.7,1.3,0.298520,774.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_packed_safe,packed,full,2,2048,11008,bf16,0.7,1.3,0.510249,860.000,20,50
NVIDIA A100-SXM4-80GB,a100,torch,separate,forward,4,2048,11008,bf16,1.0,1.0,2.241933,1548.000,20,50
NVIDIA A100-SXM4-80GB,a100,torch,separate,full,4,2048,11008,bf16,1.0,1.0,4.984208,2580.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,forward,4,2048,11008,bf16,1.0,1.0,0.371284,1032.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,backward,4,2048,11008,bf16,1.0,1.0,0.562922,1204.000,20,50
NVIDIA A100-SXM4-80GB,a100,forge_fast,separate,full,4,2048,11008,bf16,1.0,1.0,0.935626,1376.000,20,50
